BiotoPi Daemon Logfile
2018-01-28 08:48:38 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:39 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:39 Shutdown BiotoPi Daemon( . INITIALISER . )
2018-01-28 08:48:55 Starting BiotoPi Daemon ( . root . )
2018-01-28 08:48:56 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:57 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:58 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:59 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:00 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:01 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:02 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:03 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:04 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:05 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:06 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:07 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:08 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:09 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:10 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:11 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:12 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:13 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:14 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:15 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:16 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:17 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:18 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:19 tOpSeCr3tT0k3n! Running...
2018-01-28 08:49:20 Shutdown BiotoPi Daemon( . root . )
2018-01-28 08:52:04 Starting BiotoPi Daemon ( . uid=0(root) gid=0(root) Gruppen=0(root),1001(indiecity) . )
2018-01-28 08:52:04 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:05 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:06 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:07 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:08 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:09 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:10 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:11 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:12 tOpSeCr3tT0k3n! Running...
2018-01-28 08:52:13 Shutdown BiotoPi Daemon( . uid=0(root) gid=0(root) Gruppen=0(root),1001(indiecity) . )
2018-01-28 08:53:04 Starting BiotoPi Daemon (uid=0(root) gid=0(root) groups=0(root),1001(indiecity))
2018-01-28 08:53:05 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:06 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:07 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:08 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:09 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:10 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:11 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:12 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:13 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:14 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:15 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:16 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:17 tOpSeCr3tT0k3n! Running...
2018-01-28 08:53:17 Shutdown BiotoPi Daemon(uid=0(root) gid=0(root) Gruppen=0(root),1001(indiecity))
2018-01-28 08:54:13 Starting BiotoPi Daemon (uid=0(root) gid=0(root) Gruppen=0(root),1001(indiecity))
2018-01-28 08:54:14 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:15 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:16 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:17 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:18 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:19 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:20 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:21 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:22 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:23 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:24 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:25 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:26 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:27 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:28 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:29 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:30 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:31 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:32 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:33 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:34 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:35 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:36 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:37 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:38 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:39 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:40 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:41 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:42 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:43 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:44 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:45 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:46 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:47 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:48 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:49 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:50 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:51 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:52 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:53 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:54 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:55 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:56 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:57 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:58 tOpSeCr3tT0k3n! Running...
2018-01-28 08:54:59 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:00 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:01 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:02 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:03 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:04 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:05 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:06 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:07 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:08 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:09 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:10 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:11 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:12 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:13 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:14 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:15 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:16 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:17 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:18 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:19 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:20 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:21 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:22 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:23 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:24 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:25 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:26 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:27 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:28 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:29 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:30 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:31 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:32 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:33 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:34 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:35 tOpSeCr3tT0k3n! Running...
2018-01-28 08:55:35 Shutdown BiotoPi Daemon(uid=0(root) gid=0(root) Gruppen=0(root),1001(indiecity))
2018-01-28 08:57:32 Starting BiotoPi Daemon
2018-01-28 08:57:33 MySQL Running...
2018-01-28 08:57:34 MySQL Running...
2018-01-28 08:57:35 MySQL Running...
2018-01-28 08:57:36 MySQL Running...
2018-01-28 08:57:37 MySQL Running...
2018-01-28 08:57:38 MySQL Running...
2018-01-28 08:57:39 MySQL Running...
2018-01-28 08:57:39 Shutdown BiotoPi Daemon
2018-01-28 09:02:39 Starting BiotoPi Daemon
2018-01-28 09:06:12 null Running...
2018-01-28 09:06:13 null Running...
2018-01-28 09:06:14 null Running...
2018-01-28 09:06:15 null Running...
2018-01-28 09:06:16 null Running...
